title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
Meg 2: The Trench,Action,en,8763.998,Apelles Entertainment-Warner Bros. Pictures-di Bonaventura Pictures-CMC Pictures-Gravity Pictures-China Film Group Corporation,2023-08-02,129000000.0,352056482.0,116.0,Released,7.079,1365.0,Jason Statham
The Pope's Exorcist,Horror,en,5953.227,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,2023-04-05,18000000.0,65675816.0,103.0,Released,7.433,545.0,Russell Crowe
Deadpool & Wolverine,Action,en,5410.496,Marvel Studios-Maximum Effort-21 Laps Entertainment-20th Century Studios-Kevin Feige Productions-TSG Entertainment,2024-07-24,200000000.0,1326387384.0,128.0,Released,7.765,3749.0,Ryan Reynolds
Transformers: Rise of the Beasts,Action,en,5409.104,Skydance-Paramount-di Bonaventura Pictures-Bay Films-New Republic Pictures-Tom DeSanto/Don Murphy Production-Hasbro,2023-06-06,200000000.0,407045464.0,127.0,Released,7.34,1007.0,Anthony Ramos
Dune: Part Two,Science Fiction,en,4742.163,Legendary Pictures,2024-02-27,190000000.0,683813734.0,167.0,Released,8.3,2770.0,Timothée Chalamet
Ant-Man and the Wasp: Quantumania,Action,en,4425.387,Marvel Studios-Kevin Feige Productions,2023-02-15,200000000.0,475766228.0,125.0,Released,6.507,2811.0,Paul Rudd
Creed III,Drama,en,3994.342,Metro-Goldwyn-Mayer-Proximity Media-Balboa Productions-Outlier Society Productions-Chartoff-Winkler Productions,2023-03-01,75000000.0,269000000.0,116.0,Released,7.262,1129.0,Michael B. Jordan
Insidious: The Red Door,Horror,en,3512.648,Blumhouse Productions-Stage 6 Films-Screen Gems-Atomic Monster-Oren Peli Productions,2023-07-05,16000000.0,175582093.0,107.0,Released,6.75,564.0,Ty Simpkins
Despicable Me 4,Animation,en,3195.72,Universal Pictures-Illumination-dentsu-Fuji Television Network,2024-06-20,100000000.0,810329715.0,94.0,Released,7.35,984.0,Steve Carell
Spider-Man: Across the Spider-Verse,Action,en,2550.738,Columbia Pictures-Sony Pictures Animation-Lord Miller-Pascal Pictures-Arad Productions,2023-05-31,100000000.0,512609552.0,140.0,Released,8.64,1684.0,Shameik Moore
Kingdom of the Planet of the Apes,Science Fiction,en,2419.072,20th Century Studios-Oddball Entertainment-Jason T. Reed Productions,2024-05-08,160000000.0,391407919.0,145.0,Released,6.868,1283.0,Owen Teague
Beetlejuice Beetlejuice,Comedy,en,2384.404,Warner Bros. Pictures-Geffen Pictures-Plan B Entertainment-Tim Burton Productions-Domain Entertainment-Tommy Harper Productions,2024-09-04,100000000.0,402822428.0,105.0,Released,7.196,1044.0,Michael Keaton
Aquaman and the Lost Kingdom,Action,en,2141.691,Warner Bros. Pictures-The Safran Company-Atomic Monster-DC Films-Domain Entertainment,2023-12-20,205000000.0,397860076.0,124.0,Released,6.786,756.0,Patrick Wilson
Shazam! Fury of the Gods,Action,en,2010.98,New Line Cinema-The Safran Company-DC Films,2023-03-15,125000000.0,133437105.0,130.0,Released,6.781,1602.0,Zachary Levi
Knights of the Zodiac,Fantasy,en,1882.774,Stage 6 Films-Toei Animation,2023-04-27,60000000.0,6794519.0,113.0,Released,6.561,471.0,Mackenyu
Furiosa: A Mad Max Saga,Action,en,1872.179,Warner Bros. Pictures-Kennedy Miller Mitchell-Domain Entertainment,2024-05-22,170000000.0,172775791.0,149.0,Released,7.652,2229.0,Anya Taylor
Napoleon,History,en,1811.36,Scott Free Productions-Latina Pictures-Apple Studios,2023-11-22,165000000.0,213400000.0,158.0,Released,6.516,1282.0,Joaquin Phoenix
Bad Boys: Ride or Die,Action,en,1715.076,Westbrook Studios-Columbia Pictures-Don Simpson/Jerry Bruckheimer Films,2024-06-05,100000000.0,331957666.0,115.0,Released,6.995,465.0,Will Smith
